ID,TIDPNUMB,PIACR ,LASTIRRIGATION 
1,1408,9.25,N
2,198,19.72,N
3,60947,35.4,N
4,729,21.15,N
5,743,21.2,N
6,736,15.08,N
7,731,19.17,N
8,679,19.67,N
9,680,19.06,N
10,660,43.4,N
11,1773,29.61,N
12,720,105.08,N
13,3621,18.2,N
14,13834,1,N
15,3677,13.5,N
16,1667,4.34,N
17,14006,147.44,N
18,1460,19.4,N
19,1405,21.47,N
20,1406,20.82,N
21,1757,19.78,N
22,13542,4.52,N
23,1728,65.15,N
24,816,14.3,N
25,13873,0.95,N
26,431,17.94,N
27,26896,9.59,N
28,958,48.64,N
29,962,31.7,N
30,963,6.7,N
31,964,5.03,N
32,961,0.72,N
33,58561,77.64,N
34,54674,311.29,N
35,751,1.13,N
36,750,18.43,N
37,1431,9.85,N
38,1432,9.85,N
39,13936,2.35,N
40,13756,39.17,N
41,1810,29.18,N
42,2796,12.95,N
43,2787,27.31,N
44,2787,27.31,N
45,2795,26.61,N
46,2788,1.92,N
47,444,66,N
48,2793,40.38,N
49,730,19.17,N
50,723,39.47,N
51,13784,9.8,N
52,13926,19.7,N
53,488,40,N
54,669,28.28,N
55,704,35.51,N
56,714,17.29,N
57,890,14.82,N
58,708,27.81,N
59,709,28.88,N
60,713,20.01,N
61,1688,8.82,N
62,1718,2,N
63,1723,55.17,N
64,285,9.89,N
65,278,9.89,N
66,386,59.78,N
67,390,40.75,N
68,625,77.09,N
69,26011,44.43,N
70,26011,44.43,N
71,26011,44.43,N
72,604,9.14,N
73,618,9.77,N
74,3015,10.03,N
75,14075,37.99,N
76,252,48.97,N
77,198,19.72,N
78,3692,60.9,N
79,3693,57.25,N
80,3694,39.43,N
81,31633,7,N
82,31635,9.64,N
83,31636,8.63,N
84,61943,9.75,N
85,62172,9.75,N
86,3690,42.67,N
87,689,31.73,N
88,690,20.16,N
89,705,18,N
90,706,49.55,N
91,516,1.56,N
92,1455,20.82,N
93,1455,20.82,N
94,31717,9.4,N
95,1441,24.63,N
96,1442,17.7,N
97,61178,18.28,N
98,13990,78.97,N
99,14089,14.45,N
100,1478,9.85,N
101,1477,19.1,N
102,60736,22.11,N
103,1527,19.62,N
104,849,0.82,N
105,14074,19.17,N
106,720,105.08,N
107,13522,44,N
108,13522,44,N
109,14000,57.54,N
110,300,45.64,N
111,13369,19.43,N
112,13386,34.9,N
113,13386,34.9,N
114,14055,7.57,N
115,14052,10.59,N
116,14056,2.59,N
117,14059,11.3,N
118,14060,10.65,N
119,1758,19.78,N
120,330,36.79,N
121,1649,2.2,N
122,1663,5.51,N
123,735,2.93,N
124,1415,9.29,N
125,1412,9.55,N
126,31775,9.71,N
127,291,24.14,N
128,294,35.59,N
129,296,36.71,N
130,282,9.44,N
131,283,9.73,N
132,202,19.72,N
133,26917,2.82,N
134,26918,2.81,N
135,26924,4.84,N
136,275,11.82,N
137,60363,50.52,N
138,60364,66.6,N
139,13864,2.03,N
140,1662,1.69,N
141,58317,9.8,N
142,60476,9.7,N
143,13931,4,N
144,302,93.51,N
145,45,38,N
146,14029,5.73,N
147,518,51.85,N
148,484,80.07,N
149,1465,24.92,N
150,707,29.83,N
151,716,18.61,N
152,712,20.04,N
153,847,18.44,N
154,1589,19.73,N
155,1590,19.72,N
156,719,16.04,N
157,711,19.99,N
158,54685,14.82,N
159,54686,16.44,N
160,54688,7.34,N
161,13877,18.49,N
162,13867,18.3,N
163,13805,7.52,N
164,13804,17.1,N
165,1511,38.8,N
166,13366,2.82,N
167,1751,19.73,N
168,1686,26.36,N
169,1484,8.85,N
170,3648,3,N
171,13391,11.81,N
172,58316,10,N
173,13835,8.5,N
174,1696,19.12,N
175,1825,18.95,N
176,1839,13.9,N
177,1855,13.18,N
178,1860,17.83,N
179,1764,21.65,N
180,379,29.82,N
181,288,72.4,N
182,288,72.4,N
183,489,37.99,N
184,1753,19.1,N
185,1755,15.78,N
186,425,59.68,N
187,439,118.89,N
188,13427,38.42,N
189,13426,36.93,N
190,391,40.21,N
191,13774,38.43,N
192,615,2.32,N
193,31640,4.2,N
194,31639,4.35,N
195,31638,1.01,N
196,62376,96.37,N
197,13430,34.96,N
198,3033,19.59,N
199,14093,9.98,N
200,363,79.44,N
201,51819,14.13,N
202,345,39.1,N
203,242,7.86,N
204,292,65.69,N
205,1760,2.42,N
206,1692,34.25,N
207,1583,3.27,N
208,3638,39.08,N
209,13582,4.78,N
210,668,39.17,N
211,641,25.01,N
212,31634,2.39,N
213,1409,9.85,N
214,54876,53.92,N
215,31757,1.02,N
216,31758,1.01,N
217,60360,53.42,N
218,276,9.89,N
219,206,49.62,N
220,197,54.39,N
221,3745,40.65,N
222,513,72.86,N
223,1727,12,N
224,533,94.2,N
225,533,94.2,N
226,418,18.36,N
227,54672,20,N
228,54671,18.57,N
229,427,36.39,N
230,426,23.82,N
231,1505,5.66,N
232,2810,27.92,N
233,2811,55.92,N
234,60483,9.9,N
235,13778,12.03,N
236,13777,13.13,N
237,13594,3.33,N
238,54677,34.67,N
239,1501,29.55,N
240,1697,2.8,N
241,13599,2.53,N
242,62384,5.49,N
243,1878,18,N
244,3650,19.69,N
245,3654,19.69,N
246,13527,26,N
247,643,83.06,N
248,14018,29.62,N
249,1452,9.88,N
250,1458,10,N
251,1426,89.55,N
252,323,9.91,N
253,333,77.35,N
254,1584,3.27,N
255,1585,3.27,N
256,1423,1.99,N
