ID,TIDPNUMB,PIACR ,LASTIRRIGATION 
1,45,38,N
2,197,54.39,N
3,198,19.72,N
4,202,19.72,N
5,206,49.62,N
6,242,7.86,N
7,252,48.97,N
8,268,152.57,N
9,275,11.82,N
10,276,9.89,N
11,278,9.89,N
12,282,9.44,N
13,283,9.73,N
14,285,9.89,N
15,288,72.4,N
16,291,24.14,N
17,292,65.69,N
18,294,35.59,N
19,296,36.71,N
20,302,93.51,N
21,310,120.51,N
22,323,9.91,N
23,330,36.79,N
24,333,77.35,N
25,345,39.1,N
26,350,38.7,N
27,351,77.3,N
28,362,83.14,N
29,363,79.44,N
30,371,77.13,N
31,373,98.1,N
32,379,29.82,N
33,386,59.78,N
34,387,79.74,N
35,390,40.75,N
36,391,40.21,N
37,418,18.36,N
38,425,59.68,N
39,426,23.82,N
40,427,36.39,N
41,431,17.94,N
42,439,118.89,N
43,441,38.25,N
44,443,41,N
45,444,66,N
46,445,79.28,N
47,449,78.19,N
48,451,48,N
49,452,33,N
50,461,35.54,N
51,484,80.07,N
52,488,40,N
53,489,37.99,N
54,491,74.7,N
55,513,72.86,N
56,516,1.56,N
57,518,51.85,N
58,519,56.54,N
59,533,94.2,N
60,534,113.39,N
61,598,31.25,N
62,599,35.75,N
63,604,9.14,N
64,615,2.32,N
65,618,9.77,N
66,625,77.09,N
67,641,25.01,N
68,643,83.06,N
69,658,39.82,N
70,659,43.9,N
71,660,43.4,N
72,662,42,N
73,665,30,N
74,666,58.73,N
75,668,39.17,N
76,669,28.28,N
77,677,38.51,N
78,679,19.67,N
79,680,19.06,N
80,681,25.23,N
81,685,39.67,N
82,687,33.39,N
83,688,19.85,N
84,689,31.73,N
85,690,20.16,N
86,694,32.7,N
87,695,32.23,N
88,702,34.82,N
89,704,35.51,N
90,705,18,N
91,706,49.55,N
92,707,29.83,N
93,708,27.81,N
94,709,28.88,N
95,711,19.99,N
96,712,20.04,N
97,713,20.01,N
98,714,17.29,N
99,716,18.61,N
100,719,16.04,N
101,720,105.08,N
102,723,39.47,N
103,729,21.15,N
104,730,19.17,N
105,731,19.17,N
106,735,2.93,N
107,736,15.08,N
108,743,21.2,N
109,750,18.43,N
110,751,1.13,N
111,770,31.67,N
112,776,39.14,N
113,816,14.3,N
114,847,18.44,N
115,849,0.82,N
116,879,30.94,N
117,889,9.47,N
118,890,14.82,N
119,958,48.64,N
120,961,0.72,N
121,962,31.7,N
122,963,6.7,N
123,964,5.03,N
124,1405,21.47,N
125,1406,20.82,N
126,1408,9.25,N
127,1409,9.85,N
128,1412,9.55,N
129,1415,9.29,N
130,1423,1.99,N
131,1426,89.55,N
132,1431,9.85,N
133,1432,9.85,N
134,1441,24.63,N
135,1442,17.7,N
136,1452,9.88,N
137,1455,20.82,N
138,1458,10,N
139,1460,19.4,N
140,1465,24.92,N
141,1477,19.1,N
142,1478,9.85,N
143,1484,8.85,N
144,1501,29.55,N
145,1505,5.66,N
146,1511,38.8,N
147,1527,19.62,N
148,1583,3.27,N
149,1584,3.27,N
150,1585,3.27,N
151,1589,19.73,N
152,1590,19.72,N
153,1649,2.2,N
154,1661,1.02,N
155,1662,1.69,N
156,1663,5.51,N
157,1667,4.34,N
158,1686,26.36,N
159,1688,8.82,N
160,1692,34.25,N
161,1696,19.12,N
162,1697,2.8,N
163,1718,2,N
164,1723,55.17,N
165,1727,12,N
166,1728,65.15,N
167,1751,19.73,N
168,1753,19.1,N
169,1755,15.78,N
170,1757,19.78,N
171,1758,19.78,N
172,1760,2.42,N
173,1764,21.65,N
174,1773,29.61,N
175,1805,78.66,N
176,1810,29.18,N
177,1825,18.95,N
178,1839,13.9,N
179,1855,13.18,N
180,1860,17.83,N
181,1878,18,N
182,2783,33.65,N
183,2787,27.31,N
184,2788,1.92,N
185,2793,40.38,N
186,2795,26.61,N
187,2796,12.95,N
188,2797,3.85,N
189,2798,44.6,N
190,2810,27.92,N
191,2811,55.92,N
192,2815,29.7,N
193,3015,10.03,N
194,3033,19.59,N
195,3621,18.2,N
196,3638,39.08,N
197,3648,3,N
198,3650,19.69,N
199,3654,19.69,N
200,3677,13.5,N
201,3690,42.67,N
202,3692,60.9,N
203,3693,57.25,N
204,3694,39.43,N
205,3745,40.65,N
206,13366,2.82,N
207,13369,19.43,N
208,13370,38.48,N
209,13386,34.9,N
210,13387,34.9,N
211,13390,65.08,N
212,13391,11.81,N
213,13393,29.57,N
214,13396,9,N
215,13397,34.9,N
216,13414,103.34,N
217,13426,36.93,N
218,13427,38.42,N
219,13430,34.96,N
220,13476,133,N
221,13522,44,N
222,13527,26,N
223,13542,4.52,N
224,13549,3.03,N
225,13552,3.36,N
226,13582,4.78,N
227,13583,6.76,N
228,13584,2.96,N
229,13585,4.14,N
230,13589,6.03,N
231,13594,3.33,N
232,13599,2.53,N
233,13603,32.85,N
234,13606,24.67,N
235,13749,39.59,N
236,13756,39.17,N
237,13757,77.77,N
238,13768,36.05,N
239,13769,36.98,N
240,13770,41.46,N
241,13771,38.67,N
242,13774,38.43,N
243,13777,13.13,N
244,13778,12.03,N
245,13784,9.8,N
246,13795,37.71,N
247,13798,28.05,N
248,13804,17.1,N
249,13805,7.52,N
250,13806,39.32,N
251,13817,59.52,N
252,13834,1,N
253,13835,8.5,N
254,13859,51.23,N
255,13860,35.43,N
256,13861,40.99,N
257,13864,2.03,N
258,13866,18.83,N
259,13867,18.3,N
260,13873,0.95,N
261,13877,18.49,N
262,13905,19.07,N
263,13907,17.75,N
264,13926,19.7,N
265,13928,10.44,N
266,13931,4,N
267,13936,2.35,N
268,13989,77.64,N
269,13990,78.97,N
270,13993,37.19,N
271,13997,37.1,N
272,13998,80.23,N
273,14000,57.54,N
274,14006,147.44,N
275,14018,29.62,N
276,14029,5.73,N
277,14042,37.97,N
278,14043,19.55,N
279,14045,77.52,N
280,14052,10.59,N
281,14055,7.57,N
282,14056,2.59,N
283,14059,11.3,N
284,14060,10.65,N
285,14074,19.17,N
286,14075,37.99,N
287,14089,14.45,N
288,14091,18.64,N
289,14093,9.98,N
290,14096,121.36,N
291,26011,44.43,N
292,26896,9.59,N
293,26917,2.82,N
294,26918,2.81,N
