ID,FLOWID,SBXCFS,SBXDFT
1,13735,1.6,X
2,17838,1.38,X
3,25540,14.99,X
4,27838,19.56,X
5,27928,14.93,X
6,298,0.5,X
7,445,10,X
8,690,1,X
9,2196,5,X
10,2222,5,X
11,2229,1,X
12,2387,5,X
13,6377,0,X
14,6386,0,X
15,7157,3,X
16,11027,1.5,X
17,11291,2,X
18,11292,0,X
19,11413,0.83,X
20,11437,1.63,X
21,11453,1.45,X
22,11687,1.85,X
23,11841,0.39,X
24,11855,0.39,X
25,11856,0.39,X
26,11947,1.57,X
27,11948,1.57,X
28,11994,1.74,X
29,12154,1.26,X
30,12162,2.49,X
31,12621,0,X
32,12622,0,X
33,12903,0.59,X
34,12917,1.74,X
35,12981,1.1,X
36,12996,14.69,X
37,13008,18.55,X
38,13121,14.69,X
39,13261,10.7,X
40,13307,0.92,X
41,13398,0.87,X
42,13586,17.7,X
43,13589,19.09,X
44,13609,34.51,X
45,13610,23.4,X
46,13631,30.75,X
47,13632,24.6,X
48,13638,15.9,X
49,13643,1.97,X
50,13656,1.09,X
51,13708,24.95,X
52,13730,1.7,X
53,13732,3.66,X
54,13747,26.03,X
55,13749,24.3,X
56,13773,24.11,X
57,13786,1.5,X
58,13797,0.82,X
59,13801,2.49,X
60,13803,17.28,X
61,13895,14.92,X
62,13979,2.49,X
63,13980,2.49,X
64,14078,0.93,X
65,14393,17.95,X
66,14426,1.79,X
67,14956,25.77,X
68,14957,21.02,X
69,14980,20.55,X
70,14992,22.82,X
71,14993,22.3,X
72,15025,1.46,X
73,15074,24.36,X
74,15077,25.8,X
75,15078,25.09,X
76,15082,25.31,X
77,15086,21.48,X
78,15094,18.14,X
79,15095,21.16,X
80,15098,1.24,X
81,15105,3.03,X
82,15120,21.28,X
83,15122,27.63,X
84,15141,16.78,X
85,15147,10.42,X
86,15151,16.7,X
87,15173,2.11,X
88,15176,2.49,X
89,15202,16.9,X
90,15203,16.76,X
91,15205,17.22,X
92,15206,16.54,X
93,15216,23.66,X
94,15220,15.18,X
95,15977,10.18,X
96,17655,16.35,X
97,17790,1.31,X
98,17873,1.71,X
99,17874,1.5,X
100,17879,1.56,X
101,17903,2.15,X
102,17911,0.81,X
103,17919,1.51,X
104,18030,13.33,X
105,18037,11.01,X
106,18045,2.14,X
107,18053,16.04,X
108,18222,0.64,X
109,18223,0.64,X
110,18224,0.64,X
111,18225,0.64,X
112,18256,1.51,X
113,18268,0.89,X
114,18329,3.07,X
115,18346,1.2,X
116,18550,1.68,X
117,18593,2.49,X
118,18657,2.49,X
119,18860,8.55,X
